step_name,runtime_sec,removed_rows,validator_stats
Clean nulls,0.015862464904785156,0,"{'Nulls in text data': 0, 'Html tags': 26979, 'Utf8 chars': 0}"
Encode to utf8,9.270222187042236,0,"{'Nulls in text data': 0, 'Html tags': 26979, 'Utf8 chars': 0}"
Clean Html,15.74550485610962,0,"{'Nulls in text data': 0, 'Html tags': 792, 'Utf8 chars': 0}"
Clean special characters,0.38290905952453613,0,"{'Nulls in text data': 0, 'Html tags': 792, 'Utf8 chars': 0}"
Quality filtering,2.009810447692871,1477,"{'Nulls in text data': 0, 'Html tags': 752, 'Utf8 chars': 0}"
Language cleaning,57.308406829833984,68,"{'Nulls in text data': 0, 'Html tags': 748, 'Utf8 chars': 0}"
Exact deduplication,0.11170554161071777,10,"{'Nulls in text data': 0, 'Html tags': 748, 'Utf8 chars': 0}"
Fuzzy deduplification,36.26109981536865,70,"{'Nulls in text data': 0, 'Html tags': 752, 'Utf8 chars': 0}"
PII removal step,1.2424416542053223,0,"{'Nulls in text data': 0, 'Html tags': 745, 'Utf8 chars': 0}"
Toxicity removal step,12.829848051071167,94,"{'Nulls in text data': 0, 'Html tags': 716, 'Utf8 chars': 0}"
Lowercase step,0.03569793701171875,0,"{'Nulls in text data': 0, 'Html tags': 716, 'Utf8 chars': 0}"
