step_name,runtime_sec,removed_rows,validator_stats
Clean nulls,0.0,0,"{'Nulls in text data': 0, 'Html tags': 26979, 'Utf8 chars': 0}"
Encode to utf8,4.683414697647095,0,"{'Nulls in text data': 0, 'Html tags': 26979, 'Utf8 chars': 0}"
Clean Html,6.9662675857543945,0,"{'Nulls in text data': 0, 'Html tags': 744, 'Utf8 chars': 0}"
Clean special characters,0.12017250061035156,0,"{'Nulls in text data': 0, 'Html tags': 744, 'Utf8 chars': 0}"
Quality filtering,0.7914001941680908,1478,"{'Nulls in text data': 0, 'Html tags': 710, 'Utf8 chars': 0}"
Language cleaning,42.89599370956421,69,"{'Nulls in text data': 0, 'Html tags': 706, 'Utf8 chars': 0}"
Exact deduplication,0.09896707534790039,10,"{'Nulls in text data': 0, 'Html tags': 706, 'Utf8 chars': 0}"
Fuzzy deduplification,19.538551330566406,76,"{'Nulls in text data': 0, 'Html tags': 708, 'Utf8 chars': 0}"
PII removal step,0.6310510635375977,0,"{'Nulls in text data': 0, 'Html tags': 708, 'Utf8 chars': 0}"
Toxicity removal step,5.998488426208496,88,"{'Nulls in text data': 0, 'Html tags': 703, 'Utf8 chars': 0}"
Lowercase step,0.015938997268676758,0,"{'Nulls in text data': 0, 'Html tags': 703, 'Utf8 chars': 0}"
