doc_id,paragraph_id,paragraph_text,url,shard,minhash
2881,23,References,https://en.wikipedia.org/wiki/Alcaeus%20of%20Mytilene,0,<datasketch.minhash.MinHash object at 0x000002CD985ACF90>
2429,1,"Send to Email Address
Your Name
Your Email Address
Post was not sent - check your email addresses!
Email check failed, please try again
Sorry, your blog cannot share posts by email.",https://www.nigeriatoday.ng/2017/06/nigerians-newspapers-10-things-you-need-to-know-this-thursday-morning-daily-post-nigeria/,0,<datasketch.minhash.MinHash object at 0x000002CD985877D0>
253,3,"""""""",https://github.com/cggh/scikit-allel/blob/3c979a57a100240ba959dd13f98839349530f215/allel/stats/sf.py#L69-L101,0,<datasketch.minhash.MinHash object at 0x000002CD9876B910>
3147,1,"Parameters:
			device_id (str, Optional): A mobile device ID.
				Default: Use ``device_id`` of the :class:`MobileClient` instance.
			page_size (int, Optional): The maximum number of results per returned page.
				Max allowed is ``49995``.
				Default: ``250``",https://github.com/thebigmunch/google-music/blob/d8a94dab462a1f063fbc1152187a73dc2f0e2a85/src/google_music/clients/mobileclient.py#L1110-L1149,0,<datasketch.minhash.MinHash object at 0x000002CD96E95FD0>
2230,52,Further reading,https://en.wikipedia.org/wiki/Blood%20libel,0,<datasketch.minhash.MinHash object at 0x000002CD985C74D0>
2647,21,References,https://en.wikipedia.org/wiki/Telecommunications%20in%20Anguilla,0,<datasketch.minhash.MinHash object at 0x000002CD985AD510>
3085,1,"Send to Email Address
Your Name
Your Email Address
Post was not sent - check your email addresses!
Email check failed, please try again
Sorry, your blog cannot share posts by email.",http://www.nigeriatoday.ng/2017/06/militants-to-okowa-account-for-your-2yrs-13-derivation-vanguard/,0,<datasketch.minhash.MinHash object at 0x000002CD96E94DD0>
1958,60,External links,https://en.wikipedia.org/wiki/Amerigo%20Vespucci,0,<datasketch.minhash.MinHash object at 0x000002CD985C7BD0>
1005,30,References,https://en.wikipedia.org/wiki/Apache%20HTTP%20Server,0,<datasketch.minhash.MinHash object at 0x000002CD985ABB90>
1995,1,"Send to Email Address
Your Name
Your Email Address
Post was not sent - check your email addresses!
Email check failed, please try again
Sorry, your blog cannot share posts by email.",http://www.nigeriatoday.ng/2017/04/federal-workers-in-aibom-moan-over-4-yr-blackout-vanguard/,0,<datasketch.minhash.MinHash object at 0x000002CD985C4B50>
1990,14,},https://github.com/pattern-lab/styleguidekit-assets-default/blob/a4d566b6bb9ed40474389168972ed1f39f042273/dist/styleguide/js/patternlab-viewer.js#L960-L1025,0,<datasketch.minhash.MinHash object at 0x000002CD985C4AD0>
1202,11,References,https://en.wikipedia.org/wiki/Automatic%20number%20announcement%20circuit,0,<datasketch.minhash.MinHash object at 0x000002CD985FBE10>
2695,27,See also,https://en.wikipedia.org/wiki/Book%20of%20Nahum,0,<datasketch.minhash.MinHash object at 0x000002CD985AE810>
3150,7,Parameters:,https://github.com/zhmcclient/python-zhmcclient/blob/9657563e5d9184c51d3c903442a58b9725fdf335/zhmcclient_mock/_session.py#L156-L267,1,<datasketch.minhash.MinHash object at 0x000002CD98E43590>
647,25,References,https://en.wikipedia.org/wiki/Bacterial%20conjugation,1,<datasketch.minhash.MinHash object at 0x000002CD98DCBD90>
2707,43,References,https://en.wikipedia.org/wiki/Binary%20search%20tree,1,<datasketch.minhash.MinHash object at 0x000002CD98E2C5D0>
1210,109,References,https://en.wikipedia.org/wiki/British%20Empire,1,<datasketch.minhash.MinHash object at 0x000002CD98DE9F50>
1334,3,return False,https://github.com/boriel/zxbasic/blob/23b28db10e41117805bdb3c0f78543590853b132/api/check.py#L44-L61,1,<datasketch.minhash.MinHash object at 0x000002CD98DEB650>
2169,91,References,https://en.wikipedia.org/wiki/British%20Virgin%20Islands,1,<datasketch.minhash.MinHash object at 0x000002CD98E06B50>
3223,4,Parameters:,https://github.com/zhmcclient/python-zhmcclient/blob/9657563e5d9184c51d3c903442a58b9725fdf335/zhmcclient/_password_rule.py#L237-L269,1,<datasketch.minhash.MinHash object at 0x000002CD98E43710>
1471,59,External links,https://en.wikipedia.org/wiki/Blackbeard,1,<datasketch.minhash.MinHash object at 0x000002CD98DFA9D0>
1005,31,External links,https://en.wikipedia.org/wiki/Apache%20HTTP%20Server,1,<datasketch.minhash.MinHash object at 0x000002CD98DDF3D0>
1236,49,See also,https://en.wikipedia.org/wiki/A%20Clockwork%20Orange%20%28novel%29,1,<datasketch.minhash.MinHash object at 0x000002CD98DEBE90>
1990,15,},https://github.com/pattern-lab/styleguidekit-assets-default/blob/a4d566b6bb9ed40474389168972ed1f39f042273/dist/styleguide/js/patternlab-viewer.js#L960-L1025,1,<datasketch.minhash.MinHash object at 0x000002CD98E04AD0>
1019,14,},https://github.com/ILLGrenoble/guacamole-common-js/blob/71925794155ea3fc37d2a125adbca6f8be532887/src/Layer.js#L132-L193,1,<datasketch.minhash.MinHash object at 0x000002CD98DDF7D0>
2695,28,References,https://en.wikipedia.org/wiki/Book%20of%20Nahum,1,<datasketch.minhash.MinHash object at 0x000002CD98E2D990>
2881,25,External links,https://en.wikipedia.org/wiki/Alcaeus%20of%20Mytilene,2,<datasketch.minhash.MinHash object at 0x000002CD995FDA10>
3147,3,"if device_id is None:
			device_id = self.device_id",https://github.com/thebigmunch/google-music/blob/d8a94dab462a1f063fbc1152187a73dc2f0e2a85/src/google_music/clients/mobileclient.py#L1110-L1149,2,<datasketch.minhash.MinHash object at 0x000002CD995FF910>
3150,24,Raises:,https://github.com/zhmcclient/python-zhmcclient/blob/9657563e5d9184c51d3c903442a58b9725fdf335/zhmcclient_mock/_session.py#L156-L267,2,<datasketch.minhash.MinHash object at 0x000002CD995FFB90>
1726,1,"Parameters
        ----------",https://github.com/ska-sa/katcp-python/blob/9127c826a1d030c53b84d0e95743e20e5c5ea153/katcp/resource_client.py#L804-L825,2,<datasketch.minhash.MinHash object at 0x000002CD995ED710>
3175,1,"Parameters
    ----------",https://github.com/cggh/scikit-allel/blob/3c979a57a100240ba959dd13f98839349530f215/allel/stats/window.py#L379-L431,2,<datasketch.minhash.MinHash object at 0x000002CD995FFED0>
1097,27,References,https://en.wikipedia.org/wiki/Alpha%20decay,2,<datasketch.minhash.MinHash object at 0x000002CD995DBED0>
2064,9,References,https://en.wikipedia.org/wiki/Amblypoda,2,<datasketch.minhash.MinHash object at 0x000002CD995F94D0>
1183,134,|-,https://en.wikipedia.org/wiki/Aung%20San%20Suu%20Kyi,2,<datasketch.minhash.MinHash object at 0x000002CD995E8FD0>
1990,16,},https://github.com/pattern-lab/styleguidekit-assets-default/blob/a4d566b6bb9ed40474389168972ed1f39f042273/dist/styleguide/js/patternlab-viewer.js#L960-L1025,2,<datasketch.minhash.MinHash object at 0x000002CD995F8390>
1789,64,References,https://en.wikipedia.org/wiki/Apollo%2012,3,<datasketch.minhash.MinHash object at 0x000002CD999BE190>
1913,14,References,https://en.wikipedia.org/wiki/August%2011,3,<datasketch.minhash.MinHash object at 0x000002CD999BFB50>
3147,4,"start_token = None
		prev_items = None",https://github.com/thebigmunch/google-music/blob/d8a94dab462a1f063fbc1152187a73dc2f0e2a85/src/google_music/clients/mobileclient.py#L1110-L1149,3,<datasketch.minhash.MinHash object at 0x000002CD999CF1D0>
2707,45,External links,https://en.wikipedia.org/wiki/Binary%20search%20tree,3,<datasketch.minhash.MinHash object at 0x000002CD999D76D0>
2881,2,Biography,https://en.wikipedia.org/wiki/Alcaeus%20of%20Mytilene,3,<datasketch.minhash.MinHash object at 0x000002CD999CD410>
2061,7,},https://github.com/acos-server/acos-kelmu/blob/71105b5b43027c517a1da99d6cb0a7687fe253b9/static/kelmu.js#L92-L134,3,<datasketch.minhash.MinHash object at 0x000002CD999D08D0>
3368,11,Notes,https://en.wikipedia.org/wiki/Alfonso%20IV%20of%20Aragon,3,<datasketch.minhash.MinHash object at 0x000002CD999F9710>
